time,cart_pos,pend_pos,cart_vel,pend_vel,torque
2.780000000000000249e+00,6.074196301895897409e-04,3.140420930533666777e+00,-1.068516166185760343e-05,1.063212872100363811e-02,-1.314073692558071806e-02
2.800000000000000266e+00,6.072059269563525891e-04,3.140633573108086996e+00,-2.653789623323775013e-04,1.158628372455008763e-02,1.926082560942557345e-03
2.819999999999999840e+00,6.018983477097050120e-04,3.140865298782578030e+00,-2.186722892913222575e-04,1.244504080876504028e-02,8.440594872466365695e-03
2.839999999999999858e+00,5.975249019238785663e-04,3.141114199598753487e+00,-5.453141993723903186e-05,1.306787855591628848e-02,-4.260191896396145657e-03
2.859999999999999876e+00,5.964342735251338193e-04,3.141375557169871602e+00,-1.320151253118108706e-04,1.339318734739620986e-02,6.288572212936363072e-03
2.879999999999999893e+00,5.937939710188975704e-04,3.141643420916819363e+00,-6.495472513145687582e-06,1.351235085629168969e-02,-5.332836684315679296e-03
2.899999999999999911e+00,5.936640615686346713e-04,3.141913667933945220e+00,-9.905835528989616258e-05,1.333777109307184364e-02,1.061665500656835785e-02
2.919999999999999929e+00,5.916828944628367559e-04,3.142180423355806607e+00,1.106764786085459113e-04,1.296015412262898486e-02,1.105227389192411404e-02
2.939999999999999947e+00,5.938964240350076348e-04,3.142439626438259026e+00,3.122381903288390078e-04,1.225993397065548891e-02,5.869078916273613201e-03
2.959999999999999964e+00,6.001411878415844085e-04,3.142684825117671998e+00,4.045294832654914153e-04,1.125039848782267808e-02,-8.292423570463504715e-03
2.979999999999999982e+00,6.082317775068942466e-04,3.142909833087428328e+00,2.354163827962416555e-04,9.992183071106549436e-03,4.324458848362194830e-04
3.000000000000000000e+00,6.129401051628190688e-04,3.143109676748850667e+00,2.443428603438429201e-04,8.613699405603142054e-03,-1.566163730316375013e-02
3.020000000000000018e+00,6.178269623696959001e-04,3.143281950736962926e+00,-3.580375137613730314e-05,7.065270603318448382e-03,1.841549704426408748e-03
3.040000000000000036e+00,6.171108873421731877e-04,3.143423256149029399e+00,3.089868612065986824e-05,5.492609137841523645e-03,1.437252782382561272e-03
3.060000000000000053e+00,6.177288610645863915e-04,3.143533108331786341e+00,8.586449032546496652e-05,3.780733046481301977e-03,-1.237648081983764616e-02
3.080000000000000071e+00,6.194461508710957321e-04,3.143608722992715876e+00,-1.130483690070273328e-04,1.964080365555786155e-03,-1.638605577641846908e-03
3.100000000000000089e+00,6.171851834909551984e-04,3.143648004600026802e+00,-9.719946018806696305e-05,1.791894059448057193e-04,-9.478049856238790483e-03
3.120000000000000107e+00,6.152411942871938502e-04,3.143651588388145512e+00,-2.244686261696185090e-04,-1.630183575970680114e-03,-9.381964538681506968e-03
3.140000000000000124e+00,6.107518217638015180e-04,3.143618984716626041e+00,-3.378290943919708502e-04,-3.372679048758374029e-03,1.024499820794400745e-02
3.160000000000000142e+00,6.039952398759620500e-04,3.143551531135651000e+00,-8.570084702409736877e-05,-5.022104946957674058e-03,1.143098941859889590e-02
3.180000000000000160e+00,6.022812229354800560e-04,3.143451089036711998e+00,1.618073924656464931e-04,-6.698783391448339709e-03,-3.546102168954307337e-03
3.200000000000000178e+00,6.055173707847930293e-04,3.143317113368882865e+00,1.120072040801484511e-04,-8.370927772249535381e-03,-4.758637226211825770e-03
3.220000000000000195e+00,6.077575148663960473e-04,3.143149694813438089e+00,4.255364044421877342e-05,-9.885816189128317569e-03,-1.178614579427876216e-02
3.240000000000000213e+00,6.086085876752804665e-04,3.142951978489655573e+00,-1.504291738423955494e-04,-1.120682685768909469e-02,1.601733681968290149e-02
3.260000000000000231e+00,6.056000041984325923e-04,3.142727841952501766e+00,1.751520694994405784e-04,-1.225759308202341823e-02,1.928834234706391579e-02
