q11,q22,r,Vol
1.200000000000000178e+00,1.200000000000000178e+00,5.999999999999999778e-01,3.073560267432116433e+01
1.200000000000000178e+00,1.200000000000000178e+00,7.000000000000000666e-01,3.471049208499381677e+01
1.200000000000000178e+00,1.200000000000000178e+00,8.000000000000000444e-01,3.356850547108133753e+01
1.200000000000000178e+00,1.200000000000000178e+00,9.000000000000000222e-01,3.731935050098179829e+01
1.200000000000000178e+00,1.200000000000000178e+00,1.000000000000000000e+00,3.870078018230434225e+01
1.200000000000000178e+00,2.300000000000000266e+00,1.000000000000000056e-01,1.392289352748715814e+01
1.200000000000000178e+00,2.300000000000000266e+00,2.000000000000000111e-01,1.730508769169589200e+01
1.200000000000000178e+00,2.300000000000000266e+00,3.000000000000000444e-01,1.727090725178994646e+01
1.200000000000000178e+00,2.300000000000000266e+00,4.000000000000000222e-01,1.676133954180203389e+01
1.200000000000000178e+00,2.300000000000000266e+00,5.000000000000000000e-01,1.798588048567411946e+01
1.200000000000000178e+00,2.300000000000000266e+00,5.999999999999999778e-01,1.836428882822557185e+01
1.200000000000000178e+00,2.300000000000000266e+00,7.000000000000000666e-01,1.743364010368388506e+01
1.200000000000000178e+00,2.300000000000000266e+00,8.000000000000000444e-01,1.791497144904280603e+01
1.200000000000000178e+00,2.300000000000000266e+00,9.000000000000000222e-01,2.721540495768803680e+01
1.200000000000000178e+00,2.300000000000000266e+00,1.000000000000000000e+00,2.828706838655233824e+01
1.200000000000000178e+00,3.400000000000000355e+00,1.000000000000000056e-01,1.231575180025670413e+01
1.200000000000000178e+00,3.400000000000000355e+00,2.000000000000000111e-01,1.566226931045811632e+01
1.200000000000000178e+00,3.400000000000000355e+00,3.000000000000000444e-01,1.737978459224434857e+01
1.200000000000000178e+00,3.400000000000000355e+00,4.000000000000000222e-01,1.921539446473351020e+01
1.200000000000000178e+00,3.400000000000000355e+00,5.000000000000000000e-01,1.892932230662063375e+01
1.200000000000000178e+00,3.400000000000000355e+00,5.999999999999999778e-01,1.882690446205139523e+01
1.200000000000000178e+00,3.400000000000000355e+00,7.000000000000000666e-01,1.509154012500972009e+01
1.200000000000000178e+00,3.400000000000000355e+00,8.000000000000000444e-01,1.948533173225438020e+01
1.200000000000000178e+00,3.400000000000000355e+00,9.000000000000000222e-01,1.710380796956586380e+01
1.200000000000000178e+00,3.400000000000000355e+00,1.000000000000000000e+00,2.086194068654305411e+01
1.200000000000000178e+00,4.500000000000000000e+00,1.000000000000000056e-01,1.135122823048883056e+01
1.200000000000000178e+00,4.500000000000000000e+00,2.000000000000000111e-01,1.433228640341202187e+01
1.200000000000000178e+00,4.500000000000000000e+00,3.000000000000000444e-01,1.635235977774283356e+01
1.200000000000000178e+00,4.500000000000000000e+00,4.000000000000000222e-01,1.531399163408204878e+01
1.200000000000000178e+00,4.500000000000000000e+00,5.000000000000000000e-01,1.860460610921462887e+01
1.200000000000000178e+00,4.500000000000000000e+00,5.999999999999999778e-01,1.675177066362692102e+01
1.200000000000000178e+00,4.500000000000000000e+00,7.000000000000000666e-01,1.918434024965276663e+01
1.200000000000000178e+00,4.500000000000000000e+00,8.000000000000000444e-01,2.017554489078002788e+01
1.200000000000000178e+00,4.500000000000000000e+00,9.000000000000000222e-01,1.789672532073949895e+01
1.200000000000000178e+00,4.500000000000000000e+00,1.000000000000000000e+00,1.766791526607379126e+01
1.200000000000000178e+00,5.599999999999999645e+00,1.000000000000000056e-01,1.068924553866458993e+01
1.200000000000000178e+00,5.599999999999999645e+00,2.000000000000000111e-01,1.340103449375482469e+01
1.200000000000000178e+00,5.599999999999999645e+00,3.000000000000000444e-01,1.527319544422749686e+01
1.200000000000000178e+00,5.599999999999999645e+00,4.000000000000000222e-01,1.721062232748113274e+01
1.200000000000000178e+00,5.599999999999999645e+00,5.000000000000000000e-01,1.804692398365509121e+01
1.200000000000000178e+00,5.599999999999999645e+00,5.999999999999999778e-01,1.811789288139820897e+01
1.200000000000000178e+00,5.599999999999999645e+00,7.000000000000000666e-01,1.606608497176920025e+01
1.200000000000000178e+00,5.599999999999999645e+00,8.000000000000000444e-01,1.522576513115047980e+01
1.200000000000000178e+00,5.599999999999999645e+00,9.000000000000000222e-01,1.826751081521931752e+01
1.200000000000000178e+00,5.599999999999999645e+00,1.000000000000000000e+00,1.740714787652347795e+01
1.200000000000000178e+00,6.700000000000000178e+00,1.000000000000000056e-01,1.023706589198719641e+01
1.200000000000000178e+00,6.700000000000000178e+00,2.000000000000000111e-01,1.271115056864297976e+01
1.200000000000000178e+00,6.700000000000000178e+00,3.000000000000000444e-01,1.443243003619883780e+01
1.200000000000000178e+00,6.700000000000000178e+00,4.000000000000000222e-01,1.474765568710648367e+01
1.200000000000000178e+00,6.700000000000000178e+00,5.000000000000000000e-01,1.697812583897535887e+01
1.200000000000000178e+00,6.700000000000000178e+00,5.999999999999999778e-01,1.805482781663077674e+01
1.200000000000000178e+00,6.700000000000000178e+00,7.000000000000000666e-01,1.840449871010032012e+01
1.200000000000000178e+00,6.700000000000000178e+00,8.000000000000000444e-01,1.742262040609158902e+01
